29,34
28,97
29,39
29,59
29,04
30,05
29,18
30,17
29,69
29,79
29,4
30,01
29,43
29,4
30,17
29,99
30,58
30,43
28,97
29,68
29,34
30,69
29,98
29,56
29,93
29,76
29,87
29,53
29,55
29,25
29,15
29,68
29,97
30,02
28,85
29,39
29,83
29,37
28,8
28,68
29,11
29,11
28,88
28,67
29,6
29,7
29,12
29,53
29,22
29,41
29,59
29,38
29,25
29,81
29,09
28,65
28,84
29,74
29,5
29,68
28,75
29,04
29,89
29,94
29,34
29,43
29,76
28,86
28,85
29,12
28,91
28,28
28,31
29,52
29,27
28,86
29,35
28,88
29,41
29,4
29,23
29,78
29,37
29,45
29,62
29,46
30,28
30,38
29,1
29,48
30,02
30,06
29,13
28,79
29,75
29,39
29,41
29,25
29,23
28,97
29,22
28,88
28,85
29,35
29,01
28,29
29,46
29,44
28,85
28,79
29,26
28,99
29,11
28,87
28,54
29,14
29,07
29,51
28,63
29,05
29,6
29,57
29,62
29,42
29,82
29,46
28,74
29,58
29,64
29,27
29,69
28,76
29,18
28,9
28,97
29,1
29,1
28,41
29,06
28,1
29,15
28,72
28,84
28,72
27,85
28,71
29,02
28,92
29,34
28,5
28,68
29,31
29,39
28,56
29,11
28,74
28,24
28,67
29,36
29,04
28,69
29,47
29,34
29,8
29,18
29,06
29,16
29,23
29,75
29,07
29,37
29,56
30,13
29,72
29,78
29,76
30
29,49
30,04
29,25
29,9
29,41
29,46
29,42
29,45
29,66
29,41
29
28,75
28,88
28,58
29,65
29,37
28,95
29,12
29,01
29,83
29,06
29,15
29,52
28,72
29,56
29,61
29,39
29,04
29,19
29,16
29,16
29,13
29,39
29,59
28,79
28,17
28,92
27,95
29,1
29,42
28,59
29,47
28,55
28,55
28,29
28,74
28,16
28,7
29,08
29,23
29
28,55
29,71
28,87
28,82
28,76
29,13
28,93
29,04
29,25
29,49
29,32
28,56
29,28
29,18
29,19
29,88
28,89
28,88
29,48
29,07
28,76
28,41
28,6
28,67
29,04
29,32
29,06
28,82
29,1
28,78
28,53
29,02
29,51
29,02
29,32
28,81
28,89
29,63
28,61
28,54
28,58
29
29,27
29,95
29,55
29,46
29,02
29,4
29,55
28,96
29,16
29,54
28,84
29,27
29,31
28,89
29,62
29,24
29,19
28,39
29,13
28,3
29,6
28,98
28,87
28,37
29,36
29,19
29,01
29,47
29,22
29,6
29,26
28,75
29,66
29,3
29,02
29,36
28,6
29,11
28,92
29,02
29,01
28,93
29,19
29,15
28,61
28,16
28,48
29,34
28,8
27,79
28,71
28,72
28,56
28,73
29,13
28,9
28,88
28,98
28,75
28,96
29,05
28,89
29,24
29,51
29,52
29,5
28,79
29,07
29,27
28,67
29,7
28,99
28,56
29,39
29,7
28,8
29,23
29,8
29,29
29,9
29,58
29,32
29,31
29,79
28,64
28,68
29,28
29,26
28,89
28,57
29,3
28,77
29,03
29
28,67
29,74
29,29
28,7
28,89
29,04
29,7
29,39
29,21
29,37
30,18
28,94
29,35
28,94
29,68
29,44
29,84
28,92
29,52
29,67
29,29
29,28
29,5
29,83
29,94
29,96
29,91
29,94
30,03
29,23
29,81
30,34
29,63
29,59
29,74
29,99
30,41
29,81
29,22
29,78
29,92
29,98
29,99
29,88
30,17
30,06
29,21
29,84
29,51
29,75
29,63
29,07
29,46
29,62
30,28
30,24
28,98
29,92
29,63
29,44
30,04
29,61
29,36
28,98
29,4
29,69
29,53
29,37
29,19
28,78
30,57
29,42
30
29,05
29,72
30,14
29,34
29,16
28,86
29,66
29,59
29,02
28,82
29,16
29,38
28,66
28,6
29,47
29,39
29,23
29,37
29,55
29,27
29,74
28,84
28,62
29,41
29,94
28,76
29,04
29,13
29,59
28,74
28,69
28,4
29,42
28,79
28,79
29,02
29,1
28,64
28,91
29,01
29,27
29,09
29,07
29,39
29,94
29,97
29,32
28,58
29,17
29,16
28,83
29,23
29,28
29,25
29,76
29,18
28,81
29,19
29,65
29,31
29,35
29,9
29,76
29,37
28,58
30,07
29,6
29,47
30,29
29,64
29,68
28,77
29,68
28,95
29,07
29,61
29,48
29,12
29,01
29,05
29,36
29,23
29,14
29,62
29,12
29,26
29,57
29,93
29,83
29,29
29,37
28,63
29,79
29,33
29,13
28,85
28,89
30,65
29,33
29,87
29,84
29,47
28,97
28,86
29,45
29,32
30,11
29,35
29,26
29,55
30,29
29,57
29,32
29,84
29,34
29,78
29,23
29,39
29,4
29,26
30,03
29,25
29,99
29,32
29,06
29,16
29,2
29,79
29,57
29,91
29,7
29,75
29,59
29,27
29,38
29,89
29,91
29,35
29,8
30,36
30,21
29,92
29,66
29,69
30,54
30,15
29,73
29,56
30,15
29,69
29,59
29,26
29,58
30,68
29,82
29,07
29,17
29,7
29,49
29,18
29,39
29,49
29,42
29,05
